Name,DateTime,Type,Notes
Superbowl,2026-02-12 18:30,Sports, Patriots vs Seahawks
Haircut,2026-02-04 11:00,Personal Event
Groundhogs Day,2026-02-02 00:00
Start of Semester,2026-01-26 09:00
